Reference,Project name,"Country
(ISO-3)",Date online,Decomission date,Status,Technology,,,,Product,End use,,,,,,,,,,,,,,Announced Size,Normalised capacity,,,,"IEA zero-carbon estimated normalised capacity
[Nm³ H₂/hour]",Refs,"Geographical details
Decimal Degrees
(Lat. N is positive, Long. E is positive)",,,,,,,
200,"ETOGAS, Solar Fuel Beta-plant AUDI, Werlte (Audi e-gas)",DEU,2013,,Operational,ALK,,Grid,,CH4,,,,,,,,,,,,,1,1,6.3 MW,6.3,1370,1.1,,1370,[1] [3] [5] [7] [9] [737],Werlte,52.8518701,7.6764179,,,,,
201,H2 Logic HRS with onsite electrolysis Aalborg,DNK,2013,,Operational,ALK,,Grid,,H2,,,,,,1,,,,,,,,,200 kg H2/d,0.431,94,0.1,,94,[484],,,,,,,,
202,WindGas Falkenhagen,DEU,2013,,Operational,ALK,,Dedicated renewable,Onshore wind,H2,,,,,,,,1,,,,,,,2 MW,2,435,0.3,,435,[372] [737],Falkenhagen,53.20031054,12.23511242,,,,,
203,P2G plant Erdgas Schwaben,DEU,2013,,Operational,PEM,,Other/unknown,,H2,,,,,,,,1,,,,,,,1 MW - 180 Nm3 H2/h,1,192,0.1,,192,[1],,,,,,,,
204,"Oslo, CHIC",NOR,2013,,Operational,ALK,,Other/unknown,,H2,,,,,,1,,,,,,,,,0.6MW - 120 Nm3 H2/h,0.6,130,0.1,,130,,,,,,,,,
205,"HySynergy, phase 1",DNK,2025,,Operational,ALK,,Dedicated renewable,Onshore wind,H2,1,,,,,,,,,,,,,,20MW,20,4348,3.4,,4348,[288] [331][3000],Fredericia refinery,55.59138504,9.752643675,,,,,
207,CO2RRECT-Niederaussem,DEU,2013,2015,DEMO,PEM,,Grid,,CH4,,,,,,,,,,,,,1,,50 Nm3 H2/h,0.260,50,0.0,,50,"[1], [2], [7], [12], [18], [122], [123]",,,,,,,,
211,"Sir Samuel building Griffith Center, Brisbane, Australia",AUS,2013,,Operational,ALK,,Other/unknown,,H2,,,,,,,1,,,,,,,,0.2MW - 30 Nm3 H2/h,0.2,43,0.0,,43,[5] [179] [180],,,,,,,,
213,"MicrobEnergy GmbH, Schwandorf",DEU,2013,,Operational,PEM,,Grid,,CH4,,,,,,,,,,,,,1,,0.18 MW,0.18,35,0.0,,35,[2] [3] [7] [94],,,,,,,,
221,"H2Move, Fraunhofer ISE",DEU,2013,,Operational,PEM,,Dedicated renewable,Solar PV,H2,,,,,,1,,,,,,,,,0.04MW,0.04,8,0.0,,8,"[1], [2], [7], [59]",Freiburg,53.82325973,9.289435519,,,,,
222,"Hazira, Reliance, back-up hydrogen supply",IND,2005,,Operational,ALK,,Other/Unknown,,H2,,,,,,,,,,,,,,,,,,,,0,[248] [485] [710],,,,,,,,
223,El Tubo - ACTA EL500,ESP,2013,,DEMO,PEM,,Other/unknown,,H2,,,,,,,1,,,,,,,,0.6 Nm3 H2/h,0.003,1,0.0,,1,"[7], [185], [186] [465]",,,,,,,,
225,Refhyne,DEU,2021,,Operational,PEM,,Grid,,H2,1,,,,,,,,,,,,,,10 MW,10,1923,1.5,,1923,[76] [104] [129],Wesseling,50.86056156,6.980581616,,,,,
227,H&R Ölwerke Hamburg-Neuhof,DEU,2017,,Operational,PEM,,Grid,,H2,1,,,,,,,,,,,,,,5 MW,5,962,0.7,,962,[229] [737],Hamburg-Neuhof,53.51426977,9.950046941,,,,,
235,H2Herten,DEU,2012,,Operational,ALK,,Other/unknown,,H2,,,,,,1,1,,1,,,,,,0.165MW,0.165,36,0.0,,36,[1] [2] [5] [7] [41],Herten ,51.60030557,7.138382801,,,,,
236,H2 research center BTU Cottbus,DEU,2012,,Operational,ALK,,Other/unknown,,H2,,,,,,,1,,,,,,,,0.14MW,0.14,30,0.0,,30,"[1], [2], [5], [7], [46]",,,,,,,,
239,Cotbus,DEU,2012,,Operational,ALK,,Other/unknown,,H2,,,,,,1,,,,,,,,,0.12 MW - 30 Nm3 H2/h,0.12,26,0.0,,26,,,,,,,,,
240,Eucolino Schwandorf,DEU,2012,,Operational,Other Electrolysis,Unknown PtX,Other/unknown,,H2,,,,,,,,1,,,,,,,24 Nm3 H2/h,0.108,24,0.0,,24,"[1], [2], [3], [9], [36]",,,,,,,,
241,Agios Efstratios,GRC,2012,,Operational,Other Electrolysis,Unknown PtX,Other/unknown,,H2,,,,,,,1,,,,,,,,0.1MW,0.1,22,0.0,,22,[409],,,,,,,,
246,Hydrogen mini grid system Yorkshire (Rotherham),GBR,2012,,Operational,ALK,,Other/unknown,,H2,,,,,,1,1,1,,,,,,,0.03MW,0.03,7,0.0,,7,"[1], [2], [5], [7]",,,,,,,,
249,"Fronius Energy Cell, self-sufficient house",AUT,2012,,DEMO,PEM,,Other/Unknown,,H2,,,,,,,1,,,1,,,,,1.7 Nm3 H2/h,0.009,2,0.0,,2,"[1], [5], [39]",,,,,,,,
250,Hitachi Zosen - PTTEP CO2 Conversion to Methane Project R&D),THA,2012,,DEMO,Other Electrolysis,Unknown PtX,Other/unknown,,CH4,,,,,,,,,,,,,1,,,,,,,0,"[3], [196]",,,,,,,,
251,Commercial Plant Svartsengi/George Olah plant,ISL,2012,,Operational,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,MeOH,,,1,,,,,,,,,,,,6MW - 1200m3 H2/h,6,1333,1.0,,1333,[1] [5] [7] [11] [19] [20],Grindavik,63.844239,-22.4317498,,,,,
254,"Hamburg Hafen City, CEP",DEU,2011,,Operational,ALK,,Other/unknown,,H2,,,,,,1,,,,,,,,,0.6MW - 120 Nm3 H2/h,0.6,130,0.1,,130,"[1], [7], [65], [66]",Hamburg,53.54591627,10.00251676,,,,,
258,"Hybrid Power Plant Enertrag, Prenzlau",DEU,2011,,Operational,ALK,,Other/unknown,,H2,,,,,,1,1,1,,1,,,,,0.5MW - 120 Nm3 H2/h,0.5,109,0.1,,109,"[1], [2], [5], [7], [9], [71] [526]",,,,,,,,
259,"EnBW H2 station, Stuttgart",DEU,2011,,Operational,ALK,,Other/unknown,,H2,,,,,,1,,,,,,,,,0.3MW - 60 Nm3 H2/h,0.3,65,0.1,,65,"[1], [2]",,,,,,,,
270,Ramea Wind-Hydrogen-Diesel Project,CAN,2011,2025,Decommisioned,ALK,,Dedicated renewable,Unknown,H2,,,,,,,1,,,,,,,,28 Nm3 H2/h,0.129,28,0.0,,28,"[1], [5], [160]","Ramea, NL",47.52232243,-57.38883851,,,,,
275,Hydrogen Island Bozcaada,TUR,2011,,Operational,Other Electrolysis,Unknown PtX,Other/unknown,,H2,,,,,,,1,,,,,,,,11 Nm3 H2/h,0.050,11,0.0,,11,,,,,,,,,
279,DNV Kema/DNV GL,NLD,2011,,Operational,PEM,,Other/unknown,,H2,,,,,,,,1,1,,,,,,0.01MW,0.01,2,0.0,,2,"[1], [3],[22]",,,,,,,,
282,The Hydrogen Assisted Renewable Power (HARP) Project,CAN,2010,,Operational,ALK,,Other/unknown,,H2,,,,,,1,1,,,,,,,,0.3MW - 5 kgH2/h,0.3,65,0.1,,65,"[1], [5], [69]",,,,,,,,
286,H2KT - Hydrogen Energy Storage in Nuuk,DNK,2010,,Operational,ALK,,Other/unknown,,H2,,,,,,1,1,1,,,,,,,19 Nm3 H2/h,0.087,19,0.0,,19,"[1], [5] [409]",,,,,,,,
288,ITHER,ESP,2010,,DEMO,ALK,,Other/unknown,,H2,,,,,,1,,,,,,,,,0.065MW,0.065,14,0.0,,14,[1] [2] [7] [64],,,,,,,,
295,H2SusBuild,GRC,2010,,DEMO,Other Electrolysis,Unknown PtX,Other/unknown,,H2,,,,,,,1,,,,,,,,0.022MW,0.22,49,0.0,,49,[461],,,,,,,,
296,"Hybrid energy storage system NFCRC, California",USA,2010,,DEMO,PEM,,Other/unknown,,H2,,,,,,,1,,,,,,,,0.007MW,0.007,1,0.0,,1,"[1], [5], [70]",,,,,,,,
299,Nukissiorfiit Nuuk Hydrogen Plant,DNK,2010,,Operational,ALK,,Other/unknown,,H2,,,,,,,1,,,,,,,,,,,,,0,,,,,,,,,
302,"Centre of Fuel Cell Technology, Chennai",IND,2012,,Operational,PEM,,Other/unknown,,H2,,,,,,,1,,,,,,,,2 Nm3/h,0.010,2,0.0,,2,[247][488],,,,,,,,
303,"Hychico, Comodoro Rivadavia",ARG,2009,,Operational,ALK,,Dedicated renewable,Onshore wind,H2,,,,,,,1,,,,,,,,120+60 Nm3 H2/h,0.828,180,0.1,,180,[1] [5] [7] [9] [47],Comodoro Rivadavia,-45.86627843,-67.48912491,,,,,
305,Taleghan solar hydrogen energy system,IRN,2009,,Operational,Other Electrolysis,Unknown PtX,Other/unknown,,H2,,,,,,,1,,,,,,,,0.2MW,0.2,44,0.0,,44,[485] [486],,,,,,,,
306,Istanbul,TUR,2009,2023,DEMO,ALK,,Other/unknown,,H2,,,,,,1,,,,,,,,,0.16MW - 30 Nm3 H2/h,0.16,35,0.0,,35,,,,,,,,,
309,AltHytude,FRA,2009,,DEMO,ALK,,Other/unknown,,CH4,,,,,,,,,,,,,,1,0.08MW,0.08,17,0.0,,17,,"Dunkerque, Nord, Haut-de-France, France",51.03566443,2.37743555,,,,,
312,Regenerativer Energipark Ostfalia/hybrid renewable energy park (HREP),DEU,2009,,Operational,ALK,,Grid,,H2,,,,,,,1,,,,,,,,0.006MW,0.006,1,0.0,,1,"[1], [161], [162]",,,,,,,,
313,DRI CO2 recycling,USA,2009,,DEMO,PEM,,Other/unknown,,,,,,,1,,,,,,,,,,0.005MW,0.005,1,0.0,,1,"[3], [193]",,,,,,,,
314,Neo Olvio of Xanthi,GRC,2009,,DEMO,PEM,,Other/unknown,,H2,,,,,,,1,,,,,,,,0.004MW,0.004,1,0.0,,1,[462],,,,,,,,
315,HYLINK Totara,NZL,2009,,DEMO,PEM,,Other/unknown,,H2,,,,,,,1,,,,,,,,0.0025MW,0.0025,0,0.0,,0,[471],,,,,,,,
333,Baglan Energy Park Wales,GBR,2008,,Operational,ALK,,Other/unknown,,H2,,,,,,1,1,,,,,,,,10 Nm3/h,0.046,10,0.0,,10,"[1], [5], [17]",,,,,,,,
340,"Synthetic Energy, Idaho",USA,2008,,DEMO,PEM,,Other/unknown,,H2,,,,,1,,,,,,,,,,7 Nm3 H2/h,0.036,7,0.0,,7,,,,,,,,,
341,Hydepark,TUR,2008,,DEMO,PEM,,Other/unknown,,H2,,,,,,1,,,,,,,,,0.007MW,0.007,1,0.0,,1,"[1], [5], [54]",,,,,,,,
342,"Stand-alone power system, Neo Olvio of Xanthi",GRC,2008,,DEMO,PEM,,Other/unknown,,H2,,,,,,1,,,,,,,,,0.7 Nm3 H2/h,0.004,1,0.0,,1,"[1], [5], [171]",,,,,,,,
343,"HYLINK, Totara Valley",NZL,2008,,DEMO,PEM,,Other/unknown,,H2,,,,,,1,1,,,,,,,,0.09 Nm3 H2/h,0.000,0,0.0,,0,"[1], [5], [7], [55], [63]",,,,,,,,
356,RES2H2 Gran Canaria,ESP,2007,,DEMO,ALK,,Other/unknown,,H2,,,,,,1,,,,,,,,,0.055MW,0.055,12,0.0,,12,"[1], [5], [55], [62]",,,,,,,,
361,"Industrias de Aceite Fino, part of the Peruvian Romero Group",BOL,2012,,Operational,ALK,,Other/unknown,,H2,,,,,,,,,,,,,,,300m3 H2/h,1.380,300,0.2,,300,[483] [627],,,,,,,,
362,"H2 from the sun, Brunate",ITA,2007,,DEMO,ALK,,Other/unknown,,H2,,,,,,,1,,,,,,,,0.007MW,0.007,2,0.0,,2,"[1], [5], [55], [56]",,,,,,,,
363,CEC Denizli Turkey,TUR,2007,,DEMO,PEM,,Other/unknown,,H2,,,,,,,1,,,,,,,,0.7 Nm3 H2/h,0.004,1,0.0,,1,[87] [409],,,,,,,,
366,"CUTE and HyFLEET:CUTE, Barcelona",ESP,2006,,DEMO,ALK,,Other/unknown,,H2,,,,,,1,,,,,,,,,0.3MW - 60 Nm3 H2/h,0.3,65,0.1,,65,"[7], [133]",,,,,,,,
387,Savli wind-hydrogen demo project,IND,2013,,DEMO,Other Electrolysis,Unknown PtX,Other/unknown,,H2,,,,,,,1,,,,,,,,0.005MW,0.005,1,0.0,,1,,,,,,,,,
404,Tokuyama polysilicon 1,MYS,2013,,Operational,ALK,,Other/unknown,,H2,,,,,,,,,,,,,,,2250 Nm3 H2/h,10.350,2250,1.8,,2250,[629],Random location in Malaysia,3.181077824,102.7972574,,,,,
405,"Dahej, Reliance, back-up hydrogen supply",IND,2014,,Operational,ALK,,Other/unknown,,H2,,,,,,,1,,,,,,,,444 Nm3 H2/h,2.042,444,0.3,,444,[483],,,,,,,,
427,"HARI project, West Beacon Farm",GBR,2004,,Operational,ALK,,Other/unknown,,H2,,,,,,,1,,1,,,,,,0.034MW,0.034,7,0.0,,7,"[1], [2], [5], [7], [67], [68]",,,,,,,,
433,"Porto, CUTE",PRT,2003,,DEMO,ALK,,Other/unknown,,H2,,,,,,1,,,,,,,,,0.3MW - 60 Nm3 H2/h,0.3,65,0.1,,65,,,,,,,,,
436,Tokuyama polysilicon 2,MYS,2014,,Operational,ALK,,Other/unknown,,H2,,,,,,,,,,,,,,,2250 Nm3 H2/h,10.350,2250,1.8,,2250,[629],Random location in Malaysia,3.181077824,102.7972574,,,,,
437,Energiepark Mainz,DEU,2017,,Operational,PEM,,Dedicated renewable,Onshore wind,H2,,,,,1,1,,1,,,,,,,6 MW,6,1154,0.9,,1154,[2] [7] [11] [42] [381] [737],Mainz,49.99621073,8.245269018,,,,,
449,INGRID,ITA,2016,2023,DEMO,ALK,,Other/unknown,,H2,,,,,1,1,1,1,,,,,,,1.2 MW,1.2,261,0.2,,261,[509],Troia,41.363128,15.312347,,,,,
452,Tohoku pilot plant in 2003,JPN,2003,,DEMO,ALK,,Other/unknown,,H2,,,,,1,,,,,,,,,,4m3 H2/h,0.018,4,0.0,,4,[3] [7],,,,,,,,
453,Gwalpahari Solar-Hydrogen demonstration,IND,2015,,Operational,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,1,1,,,,,,,,0.12MW,0.12,27,0.0,,27,[249] [409],Gwal Pahari,28.42927593,77.14838872,,,,,
461,Solar Energy Centre SmartFuel hydrogen station ,IND,2015,,Operational,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,1,,,,,,,,,,,,,,0,,Delhi,28.62986571,77.17691407,,,,,
472,FaHyence,FRA,2017,,Operational,ALK,,Other/unknown,,H2,,,,,,1,,,,,,,,,30 Nm3/h,0.138,30,0.0,,30,[411],"Sarreguemines, Moselle, Grand Est, France",49.10645566,7.07085165,,,,,
477,CPI Zaoquan thermal power plant in China's Ningxia region,CHN,2017,,DEMO,ALK,,Other/unknown,,H2,,,,,1,,1,,,,,,,,20 Nm3/h,0.092,20,0.0,,20,,,,,,,,,
487,Laboratory Plant HRI Quebec,CAN,2001,,DEMO,ALK,,Other/unknown,,H2,,,,,,1,,,,,,,,,0.005MW - 1 Nm3 H2/h,0.005,1,0.0,,1," [1], [5], [87], [89], [90]",,,,,,,,
491,Power plant in Lebanon for a Power Plant Cooling application,LBN,2018,,Operational,ALK,,Other/unknown,,H2,,,,,,,1,,,,,,,,0.114MW,0.114,25,0.0,,25,,Random location in Lebanon,34.0090636,35.70256741,,,,,
492,Minatec's semiconductor labs in Grenoble,FRA,2018,,Operational,ALK,,Other/unknown,,H2,,,,,1,,,,,,,,,,12 Nm3 H2/h,0.055,12,0.0,,12,,"Grenoble, Isère, Auvergne-Rhône-Alpes, France",45.19199534,5.749916925,,,,,
494,Grimstad Renewable Energy Park,NOR,2000,,Operational,ALK,,Grid,,H2,,,,,,,1,,,,,,,,0.05MW,0.05,11,0.0,,11," [1], [5], [53]",Grimstad Renewable Energy Park,58.34140301,8.580593718,,,,,
497,Hypos - Sunfire,DEU,2019,,DEMO,SOEC,,Other/unknown,,H2,,,,,1,,,,,,,,,,0.18MW - 50 Nm3 H2/h,0.18,47,0.0,,47,[448],,,,,,,,
498,Electrochaea: Biological methanation in Avedøre,DNK,2014,2017,DEMO,ALK,,Other/unknown,,CH4,,,,,,,,,,,,,1,,1.2MW - 2000 Nm3 H2/h,1.2,261,0.2,,261,[491],Avedøre,55.62871238,12.44766261,,,,,
499,REMOTE - Agkistro (Greece,GRC,2021,,DEMO,ALK,,Dedicated renewable,Hydropower,H2,,,,,,,1,,,,,,,,0.025MW,0.025,5,0.0,,5,[615] [730],Agkistro,41.37341688,23.44195112,,,,,
500,"REMOTE - Spain, Canary Islands",ESP,2023,,Operational,ALK,,Dedicated renewable,Others/Various,H2,,,,,,,1,,,,,,,,0.080MW,0.08,17,0.0,,17,[423],,,,,,,,
501,Aman - Green Hydrogen Project - phase 1,MRT,2032,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,Ammonia,,1,,,,,,,,,,,,,2.5GW,2500,555556,433.1,,555556,[929][980][1001][1120][1205][2232][3198],Central Mauritania,23.7,-9.22,,,,,
502,HRS CMB Port of Antwerp,BEL,2021,,Operational,PEM,,Other/unknown,,H2,,,,,,1,,,,,,,,,1 MW,1,192,0.1,,192,[616] [829][966],Port of Antwerp,51.24091437,4.407831171,,,,,
503,Haldor Topsoe - El-Opgraderet Biogas I,DNK,2013,2017,DEMO,SOEC,,Other/unknown,,CH4,,,,,,,,,,,,,1,,10 Nm3/h,0.038,10,0.0,,10,"[2], [3], [9], [125]",Haldor Topsoe HQ,55.82093676,12.54037049,,,,,
505,H2 Logic HRS with onsite electrolysis in Vejle,DNK,2013,,Operational,ALK,,Grid,,H2,,,,,,1,,,,,,,,,200 kg H2/d,0.431,94,0.1,,94,[484],,,,,,,,
506,H2 Logic HRS with onsite electrolysis Holstebro,DNK,2013,,Operational,ALK,,Grid,,H2,,,,,,1,,,,,,,,,200 kg H2/d,0.431,94,0.1,,94,[484],,,,,,,,
507,H2 Logic 3 HRS with onsite electrolysis in Copenhagen,DNK,2013,,Operational,ALK,,Grid,,H2,,,,,,1,,,,,,,,,3x200 kg H2/d,1.292,281,0.2,,281,[484],,,,,,,,
508,Iberdrola - Puertollano II (extension from Ref10),ESP,2029,,Feasibility study,Other Electrolysis,Unknown PtX,Grid+Renewables,Solar PV,Ammonia,,1,,,,,,,,,,,,,200MW (in addition to the 20MW included in Ref 10),200,40449,31.5,,40449,[620][631],Fertiberia plant in Puertollano,38.67206718,-4.053051263,,,,,
509,"Hyoffwind Zeebrugge, expansion",BEL,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Offshore wind,H2,,,,,,1,,1,,,,,,,100MW,75,16667,13.0,,16667,[2625],Zeebrugge,51.32233179,3.208704673,,,,,
510,Hyoffwind Zeebrugge,BEL,2026,,FID/Construction,Other Electrolysis,Unknown PtX,Dedicated renewable,Offshore wind,H2,,,,,,1,,1,,,,,,,25MW,25,5556,4.3,,5556,[2601][2625],Zeebrugge,51.32233179,3.208704673,,,,,
517,Hystock (EnergyStock),NLD,2021,2024,Decommisioned,PEM,,Dedicated renewable,Solar PV,H2,,,,,1,1,,,,,,,,,1 MW - 220m3 H2/h,1,192,0.1,,192,"[2], [7], [103], [127] [395] [396] [547] [784]",Veendam,53.1028443,6.8694863,,,,,
518,HAEOLUS,NOR,2021,,Operational,PEM,,Dedicated renewable,Onshore wind,H2,,,,,1,1,1,,,,,,,,2.5MW - 500m3 H2/h,2.5,481,0.4,,481,[369],Raggovidda Wind Park,70.76517495,29.08368726,,,,,
519,FUTURECEM,DNK,,,Concept,Other Electrolysis,Unknown PtX,Other/unknown,,Various,,,1,,1,,,,,,,1,,,100 MW,100,22222,17.3,,22222,,,,,,,,,
520,Primolyzer (R&D),DNK,2010,2012,DEMO,PEM,,Other/unknown,,H2,,,,,,,1,,,,,,,,1 Nm3 H2/h,0.005,1,0.0,,1,"[1], [155]",,,,,,,,
521,PROCON (R&D),DNK,2010,2013,DEMO,PEM,,Other/unknown,,H2,,,,,,,,,,,,,,,,,,,,0,"[1], [2], [3], [7], [9], [38]",,,,,,,,
522,Foulum Demonstration plant,DNK,2011,2013,DEMO,PEM,,Other/unknown,,CH4,,,,,,,,,,,,,1,1,0.25 MW,0.25,48,0.0,,48,[438],,,,,,,,
524,Green Natural Gas,DNK,2011,2014,DEMO,SOEC,,Other/unknown,,CH4,,,,,,,,,,,,,1,,0.04MW,0.04,11,0.0,,11,"[3], [9]",,,,,,,,
525,“Towards the Methane Society”,DNK,2011,2012,DEMO,Other Electrolysis,Unknown PtX,Other/unknown,,CH4,,,,,,,,,,,,,1,1,,,,,,0,[1],,,,,,,,
526,"MEDLYS, Medium temperature water electrolysis (R&D)",DNK,2011,2015,DEMO,Other Electrolysis,Unknown PtX,Other/unknown,,H2,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
527,MeGa-stoRE,DNK,2014,2015,DEMO,ALK,,Grid,,CH4,,,,,,,,,,,,,1,1,1.4 Nm3 H2/h,0.006,1,0.0,,1,"[3], [7], [9], [98] [478]",,,,,,,,
528,MeGa-stoRE Optimising and Upscaling,DNK,2015,2018,DEMO,ALK,,Grid,,CH4,,,,,,,,,,,,,1,1,0.25MW,0.25,54,0.0,,54,"[3], [7], [9], [98]",,,,,,,,
529,"Vestenskov/ Nakskov Industrial and Environmental Park, Lolland",DNK,2007,2014,DEMO,PEM,,Other/unknown,,H2,,,,,,,1,,1,,,,,,16 Nm3 H2/h,0.083,16,0.0,,16,"[1], [2], [5], [7], [9], [55], [57] [409[",,,,,,,,
530,H2RES - Orsted offshore wind,DNK,2022,,Operational,ALK,,Dedicated renewable,Offshore wind,H2,,,,,,1,,,,,,,,,2MW,2,435,0.3,,435,[696] [918] [919][1248],Avedore,55.6255437,12.4550501,,,,,
532,Høst - Esbjerg green ammonia plant,DNK,2026,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,Ammonia,,1,,,,,,,,,,,,,1GW,1000,222222,173.3,,222222,[734][3078],Esbjerg,55.47683853,8.462096409,,,,,
533,HRS Aalborg,DNK,2020,,Operational,ALK,,Grid,,H2,,,,,,1,,,,,,,,,0.25MW - 60m3 H2/h,0.25,54,0.0,,54,[583],,,,,,,,
535,eSMR Methanol demo plant in Aarhus University,DNK,2022,,DEMO,Other Electrolysis,Unknown PtX,Grid,,MeOH,,,1,,,,,,,,,,,,10kg MeOH/h,2.643,587,0.5,,587,[490] [1617],Aarhus,56.17220541,10.1571506,,,,,
536,HyCycle - Center for renewable H2 (R&D),DNK,2008,2011,DEMO,PEM,,Other/unknown,,H2,,,,,,,,,,,,,,,,,,,,0,[1],,,,,,,,
537,NEXPEL (R&D),NOR,2010,2012,DEMO,PEM,,Other/unknown,,H2,,,,,,,,,,,,,,,,,,,,0,"[1], [152], [153]",,,,,,,,
538,Glomfjord Hydrogen AS,NOR,2027,,FID/Construction,ALK,,Dedicated renewable,Hydropower,Ammonia,,,,,1,1,,,,,,,,,60-100 t NH3/d capacity,31.0,6744,5,,6744,[496][2922],Glomfjord Industripark,66.81782476,13.94139248,,,,,
539,"HyNor Lillestrøm, Akershus Energy Park",NOR,2013,,Operational,Biomass,,,,H2,,,,,,1,1,,,,,,,,10m3 H2/h,,10,0.0,,10,,,,,,,,,
540,Statkraft-CELSA-Mo green H2 for steel production,NOR,2026,,Feasibility study,ALK,,Dedicated renewable,Others/Various,H2,,,,1,,,,,,,,,,,40-50MW,45,9783,7.6,,9783,[527][619][3103],Mo Industrial Park,66.310371,14.169271,,,,,
541,Utsira Island,NOR,2004,2008,DEMO,ALK,,Other/unknown,,H2,,,,,,,1,,,,,,,,0.048MW - 10 Nm3 H2/h,0.048,10,0.0,,10,"[1], [2], [5], [7], [87], [88]",,,,,,,,
543,Acorn H2,GBR,2028,,Feasibility study,NG w CCUS,ATR+CCUS,,,H2,1,,,,1,,,1,,,,,,,200MW - 0.4Mt CO2/y,,64045,49.9,400000,50151,[475] [721] 2023 ref [3111],Aberdeen,57.17912975,-2.101654656,,,,,
544,Laboratory System at IFE Kjeller Phase 1,NOR,2003,2016,DEMO,PEM,,Other/Unknown,,H2,,,,,,,1,,,,,,,,0.7 Nm3 H2/h,0.004,1,0.0,,1,"[1], [5]",,,,,,,,
548,"Green fertilizer project Porsgrunn-Heroya, phase 1 - SKREI",NOR,2024,,Operational,PEM,,Grid,,Ammonia,,1,,,,,,,,,,,,,24MW,24,4615,3.6,,4615,[415][664][1197][1215],Porsgrunn,59.13990876,9.654776822,,,,,
552,"Gigastack-Hornsea 2, phase I",GBR,,,Feasibility study,PEM,,Dedicated renewable,Offshore wind,H2,1,,,,,,,,,,,,,,100 MW,100,19231,15.0,,19231,[492][1124],Immingham,53.627311,-0.241579,,,,,
553,The Hydrogen office,GBR,2010,2014,DEMO,ALK,,Other/unknown,,H2,,,,,,,1,,,1,,,,,5.3 Nm3 H2/h,0.024,5,0.0,,5,"[1], [5], [173], [174]",,,,,,,,
554,RABH2,GBR,2011,2014,DEMO,ALK,,Other/unknown,,H2,,,,,,1,1,,,,,,,,0.005MW,0.005,1,0.0,,1,"[1], [5], [136]",,,,,,,,
555,Air Fuel Synthesis pilot plant,GBR,2012,2013,DEMO,Other Electrolysis,Unknown PtX,Other/unknown,,Synfuels,,,,,,,,,,,,1,,,,,,,,0,"[1], [5], [15]",,,,,,,,
556,"Aberdeen Kittybrewster, Hydrogen bus project",GBR,2015,2018,DEMO,ALK,,Other/Unknown,,H2,,,,,,1,,,,,,,,,1MW - 180 Nm3 H2/h,1,217,0.2,,217,"[2], [4], [187], [188]",Aberdeen,57.16059318,-2.114359234,,,,,
557,"Fife, Levenmouth Community Energy Project",GBR,2016,,Operational,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,H2,,,,,,1,1,,,,,,,,0.37MW,0.37,82,0.1,,82,"[2], [4], [189], [190], [191] [409][2966]",Levenmouth,56.17696925,-3.017429263,,,,,
558,"PURE Project, Unst",GBR,2005,,Operational,ALK,,Other/unknown,,H2,,,,,,1,1,,1,,,,,,0.015MW,0.015,3,0.0,,3,"[1], [5], [86], [87]",,,,,,,,
559,Tyseley Energy Park refuelling hub Birmingham,GBR,2021,,Operational,PEM,,Dedicated renewable,Others/Various,H2,,,,,,1,,,,,,,,,3MW,3,577,0.4,,577,[592] [593][1199],Tyseley Energy Park,52.46241628,-1.8405931,,,,,
562,"H2H Saltend, phase 1",GBR,2028,,Feasibility study,NG w CCUS,ATR+CCUS,,,H2,,,,,1,,1,1,,,,,,,0.89Mt CO2/y - 600 MW H2,,192135,149.8,890000,111585,[540]  [541] 2024 rev [3112],Salt End,53.74361892,-0.24953475,,,,,
566,Whitelee Green Hydrogen Facility (Phase 1),GBR,2026,,FID/Construction,PEM,,Grid+Renewables,Onshore wind,H2,,,,,1,1,,,,,,,,,10MW,10,1923,1.5,,1923,[581] [854][1514],Whitelee wind farm,55.71249156,-4.341732424,,,,,
571,CF Industries - Donaldsonville Nitrogen Complex,USA,,,FID/Construction,ALK,,Grid+Renewables,,Ammonia,,1,,,,,,,,,,,,,20MW - 20 kt NH3/y ,20,4348,3.4,,4348,[621] [622] [884] [885] [1672] [2376],Donaldsonville Complex,30.09898196,-90.95452514,,,,,
573,Westkuste 100 (Phase 2),DEU,,,Feasibility study,ALK,,Dedicated renewable,Others/Various,H2,,,1,1,,,,1,,,,1,,,700MW,670,145652,113.6,,145652,[580],Heide,54.19038729,9.108629401,,,,,
574,"H2 Pilotanlage Lingen, phase 1",DEU,2024,,Operational,ALK,,Grid+Renewables,Offshore wind,H2,1,,,1,,1,1,,,,,,,,10MW,10,2174,1.7,,2174,[314][945][1180][1212] [1551] [2624],Lingen RWE plant,52.48255651,7.299667812,,,,,
